date,population,admission,release
2023-01-14,115714.05642649862,1049.078368638433,1044.0365374970027
2023-01-15,115719.09825764004,1049.078368638433,1044.0365374970027
2023-01-16,115724.14008878151,1049.078368638433,1044.0365374970027
2023-01-17,115729.1819199229,1049.078368638433,1044.0365374970027
2023-01-18,115734.22375106438,1049.078368638433,1044.0365374970027
2023-01-19,115739.26558220582,1049.078368638433,1044.0365374970027
2023-01-20,115963.30741334721,1062.4675843247076,2142.806880634257
2023-01-21,117026.52252880238,3207.021996089413,1144.3068806342576
2023-01-22,117640.23764425755,1756.5219960894135,1058.3068806342574
2023-01-23,117954.95275971269,1373.021996089413,2890.8068806342576
2023-01-24,117560.16787516784,2496.0219960894133,2354.2068806342577
2023-01-25,117389.482990623,2183.5219960894137,2374.7068806342577
2023-01-26,117168.79810607816,2154.5219960894137,2528.916476593853
2023-01-27,116924.38039325051,2286.4815920490096,2236.125727640909
2023-01-28,116994.14682676426,2305.8921611547003,1041.6257276409094
2023-01-29,117599.41326027807,1646.8921611547005,1163.09155865298
2023-01-30,119674.1321543304,3266.063006094347,2506.3441120420234
2023-01-31,119192.35104838273,2024.5630060943477,4044.3441120420234
2023-02-01,117325.56994243506,2177.5630060943477,2284.222714662111
2023-02-02,117139.04560504633,2097.860677127827,2453.051681183217
2023-02-03,116825.52126765756,2139.5273437944934,2271.38501451655
2023-02-04,117011.33026360221,2455.5273437944934,1054.3850145165507
2023-02-05,117599.47259288012,1642.5273437944932,1117.3850145165507
2023-02-06,118002.61492215811,1520.5273437944932,2692.451681183217
2023-02-07,117493.42391810272,2184.8606771278264,2589.6482477068225
2023-02-08,117141.23291404732,2375.8606771278264,2488.752729354493
2023-02-09,116892.00607145493,2240.5230619033246,2458.7499044957362
2023-02-10,116838.77922886248,2406.0230619033246,2472.2499044957362
2023-02-11,116772.05238627006,2403.423061903325,1070.987999733831
2023-02-12,117257.42078177289,1557.6897285699913,948.3213330671645
2023-02-13,117780.78917727573,1470.0897285699912,2736.6860389495173
2023-02-14,117192.99286689618,2153.193650138619,2327.056627184811
2023-02-15,116951.32988984999,2086.193650138619,2517.8566271848113
2023-02-16,116687.66691280379,2254.1936501386185,2577.8231482910705
2023-02-17,116545.17133022634,2435.3275657135828,2309.3231482910705
2023-02-18,116592.42574764886,2356.5775657135828,1075.751719719642
2023-02-19,117226.25159364281,1708.7775657135824,1111.1183863863087
2023-02-20,117536.04410630336,1422.9108990469156,1692.1183863863087
2023-02-21,117637.836618964,1793.9108990469156,2750.118386386309
2023-02-22,117074.37913162462,2181.994232380249,2410.6183863863084
2023-02-23,116787.75497761855,2129.8275657135823,2525.451719719642
2023-02-24,116480.1308236125,2217.8275657135823,2348.0517197196423
2023-02-25,116475.40666960641,2343.3275657135823,1038.7183863863086
2023-02-26,116973.34918226703,1536.6608990469156,1139.2183863863086
2023-02-27,117280.29169492763,1446.1608990469156,2734.218386386309
2023-02-28,116764.23420758826,2216.494232380249,2527.718386386309
2023-03-01,116553.17672024887,2316.6608990469153,2571.718386386309
2023-03-02,116206.11923290945,2224.660899046916,2557.718386386309
2023-03-03,116068.26174557008,2420.8608990469156,2324.718386386309
2023-03-04,116149.40425823067,2404.8608990469156,1041.7183863863086
2023-03-05,116732.21343755796,1625.1942323802489,1081.885053052975
2023-03-06,117140.02261688522,1490.6942323802489,2574.8850530529758
2023-03-07,116755.3317962125,2189.694232380249,2497.718386386309
2023-03-08,116582.27430887311,2325.410899046916,2513.468386386309
2023-03-09,116493.71682153372,2424.410899046916,2443.1391180936257
